Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данькевич,Петро,Яковович,Чоловіча,18.02.1985,Маркетолог,місто Люботин,"площа Чорноморського козацтва, буд. 2, Южноукраїнськ, 77221",+380 83 163 99 59,barabashfeofan@example.com
Акуленко,Йосип,Пантелеймонович,Чоловіча,07.05.1959,Кухар,селище Герца,"набережна Вірського, буд. 23 кв. 778, Алчевськ, 65257",072 783-16-60,iakivhrechko@example.net
Скирда,Зорян,Болеславович,Чоловіча,29.03.1946,Астронавт,селище Тиврів,"шосе Шкільний аеродром, буд. 936, Новий Розділ, 40399",+380 81 577-52-66,heorhii95@example.net
Килимник,Азар,Глібович,Чоловіча,08.01.1978,Машиніст,село Коломия,"сквер Касима Юрія, буд. 531 кв. 7, Стрий, 64970",+380 77 757-05-91,varfolomii99@example.org
Сірко,Костянтин,Андрійович,Чоловіча,24.01.1988,М'ясник,селище Міусинськ,"узвіз Студентський, буд. 468, Нове Давидково, 37379",758-67-55,artemskorobohatko@example.net
Засядько,Соломон,Владиславович,Чоловіча,03.12.1956,Краєзнавець,селище Бар,"набережна Проектний 5-й, буд. 63 кв. 8, Червоносів, 04523",+380 22 213 96 62,valentynachupryna@example.net
Ґереґа,Ярема,Олесьович,Чоловіча,01.10.1960,Перекладач,село Кривий Ріг,"проспект Політкаторжан, буд. 23 кв. 624, Арциз, 02882",312 40 77,bazylevychiustym@example.net
Козаченко,Микита,Захарович,Чоловіча,25.10.1991,Реставратор,хутір Мирноград,"вулиця Нова, буд. 597 кв. 48, Роздільна, 98180",012 292 31 53,alevtynteslia@example.net
Забіла,Франц,Бориславович,Чоловіча,15.09.1959,Флорист,хутір Генічеськ,"набережна Кутова, буд. 73 кв. 19, Житомир, 52630",+380 42 100-94-85,deriazhnyisvitlana@example.com
Шахрай,Леон,Остапович,Чоловіча,08.03.1991,Прокурор,місто Ялта,"провулок Дорожня, буд. 184 кв. 4, Судова Вишня, 78264",090 666 99 84,tytarenkoihor@example.org
Овчаренко,Степан,Опанасович,Чоловіча,02.01.1969,Швачка,село Косів,"узвіз Чорноморський 5-й, буд. 058, Кролевець, 04418",+380 08 014 66 81,adaievtushok@example.net
Гайда,Костянтин,Давидович,Чоловіча,27.11.1998,Астрофізик,селище Чуднів,"узвіз Кладовищний, буд. 9 кв. 572, Первомайський , 49795",+380 37 201 55 81,vasyl81@example.net
Ісаєнко,Єлисей,Охрімович,Чоловіча,17.05.1962,Кухар,місто Тячів,"шосе Манежний, буд. 848 кв. 6, Бережани, 50623",197-63-58,iushchenkofeofan@example.com
Бездітко,Омелян,Макарович,Чоловіча,14.06.1973,Епідеміолог,село Ніжин,"вулиця Ковалевського узвіз, буд. 433, Носівка, 36577",089-88-92,qchubai@example.org
Гук,Богдан,Антонович,Чоловіча,09.06.1992,Стропальник,село Городня,"шосе Троїцька, буд. 1, Шаргород, 34865",099-60-23,lukian46@example.org
Батюк,Святослав,Федорович,Чоловіча,07.08.1984,Каскадер,село Косів,"шосе Світла, буд. 8 кв. 49, Прип'ять , 53132",+380 41 455-19-54,roksolana14@example.org
Балабан,Юхим,Євгенійович,Чоловіча,07.05.2003,Кінолог,селище Амвросіївка,"площа Зелена, буд. 5 кв. 54, Гнівань, 61769",+380 71 019 45 25,yiefymenko@example.org
Баштан,Василь,Макарович,Чоловіча,03.05.1963,Програміст,село Чигирин,"узвіз Шолохова, буд. 7 кв. 50, Лутугине, 08450",+380 35 652 36 44,svitlanadeineka@example.com
Фоменко,Орхип,Остапович,Чоловіча,09.02.1947,Клоун,село Сніжне,"набережна Пересипська 5-та, буд. 772 кв. 52, Дубровиця, 91626",027 076-58-06,hbabenko@example.org
Шутько,Орхип,Остапович,Чоловіча,12.04.1938,Ді-джей,селище Жовква,"набережна Проектований 3-й, буд. 93 кв. 715, Заводське, 58149",446-07-84,teodor88@example.net
Ейбоженко,Герман,Лукʼянович,Чоловіча,23.04.1940,Швачка,хутір Хрестівка,"вулиця Естонська, буд. 0 кв. 49, Нікополь, 28883",+380 87 751 60 28,devdiukmilena@example.com
Корпанюк,Валентин,Гордійович,Чоловіча,22.10.1958,Клавішник,село Докучаєвськ,"площа Сурикова, буд. 8, Вилкове, 85646",064 599-16-08,opanasshcherbak@example.org
Рябовіл,Іван,Охрімович,Чоловіча,24.12.1997,Футболіст,місто Рубіжне,"площа Педагогічний, буд. 084 кв. 251, Українськ, 23079",+380 86 079-67-21,masliaknestor@example.net
Хомик,Трохим,Вікторович,Чоловіча,25.09.1941,Композитор,село Покровськ,"провулок Пересипська 4-та, буд. 22, Радехів, 22596",516-07-28,svystunleonid@example.org
Шахрай,Назар,Едуардович,Чоловіча,30.09.1999,Слідчий,село Теребовля,"проспект Лінія 37-ма, буд. 88 кв. 4, Радехів, 73184",+380 (33) 855-66-11,serhii68@example.com
Петлюра,Мирослав,Олегович,Чоловіча,06.04.1981,Астроном,місто Сіверськ,"парк Коцюбинського, буд. 142, Роздільна, 79666",031 719-14-79,nivasiuk@example.org
Рябошапка,Гордій,Володимирович,Чоловіча,21.09.1953,Золотар,село Новогродівка,"проспект ПшеничнаРадищева, буд. 43, Червоноград, 78600",182 21 29,ivan16@example.org
Алексюк,Дан,Богодарович,Чоловіча,09.08.1961,Няня,місто Миколаїв,"сквер Каманіна, буд. 97 кв. 413, Галич, 14735",+380 69 888-43-93,marko04@example.org
Худяк,Василь,Миронович,Чоловіча,23.08.1993,М'ясник,село Старокостянтинів,"площа Полуничний, буд. 2 кв. 027, Зугрес, 58000",036 456 68 09,volodymyr59@example.org
Медведенко,Болеслав,Єфремович,Чоловіча,15.12.1978,Хімік,селище Нова Каховка,"площа Паркова, буд. 393 кв. 59, Сімферополь, 15286",+380 (96) 103-59-59,iashchukokhrim@example.com
Тихий,Аркадій,Олексович,Чоловіча,08.01.1961,Дизайнер,селище Прилуки,"проспект Миколи Вороного, буд. 995 кв. 7, Бердичів, 53931",+380 80 021-26-84,rozaliia39@example.org
Артюх,Кирило,Владиславович,Чоловіча,20.06.1964,Громадський діяч,хутір Білогірськ,"вулиця Новосельского, буд. 90, Хмельницький, 78278",096 087-27-34,iustynahaievskyi@example.com
Іващенко,Сергій,Яковович,Чоловіча,28.05.1954,Золотар,місто Сторожинець,"площа Ланжерон, буд. 805 кв. 4, Болехів, 16596",+380 92 296 17 45,odarka28@example.org
Зінчук,Антон,Леонтійович,Чоловіча,05.04.1948,Льотчик,місто Алупка,"шосе Онезька, буд. 617, Білозерське, 56460",+380 (93) 032-64-67,gshapoval@example.com
Василечко,Гліб,Вʼячеславович,Чоловіча,30.06.1981,Астрофізик,хутір Сніжне,"проспект Дунаєвського 1-й, буд. 5 кв. 960, Федорівка, 44459",635-47-02,ovsiienkoiustym@example.net
Литвин,Мартин,Вадимович,Чоловіча,04.06.1994,Вчитель,хутір Решетилівка,"сквер Одеса-Головна, буд. 8, Судова Вишня, 54933",+380 51 908 12 17,dannaavramenko@example.org
Полтавець,Симон,Болеславович,Чоловіча,22.10.2000,Електрослюсар,селище Кременчук,"провулок Українська, буд. 97, Ямпіль, 90319",+380 70 376-17-66,qtytarenko@example.com
Скорик,Аркадій,Омелянович,Чоловіча,27.03.1965,Випробувач,місто Сімферополь,"проспект Тимірязєва, буд. 25, Молодогвардійськ, 12992",550 45 70,adamvenhrynovych@example.org
Жаліло,Богуслав,Андрійович,Чоловіча,16.02.1957,Льотчик,місто Носівка,"вулиця Дальницька, буд. 58, Білопілля, 82100",+380 (60) 786-57-55,rozaliiadubas@example.net
Їжак,Вʼячеслав,Георгійович,Чоловіча,14.03.1951,Мінералог,селище Новояворівськ,"набережна Шовкуненка, буд. 0, Малин, 14220",+380 01 205-87-40,zakhardeisun@example.org
Гайдабура,Ярослав,Гаврилович,Чоловіча,07.07.1943,Складальник,хутір Оріхів,"шосе Толбухіна, буд. 02, Хмільник, 49610",+380 (02) 892-51-81,heorhiishvaika@example.net
Воблий,Євген,Тарасович,Чоловіча,22.07.1974,Композитор,село Красилів,"провулок Катерининська, буд. 110 кв. 1, Хотин, 23266",093 797 08 78,rozaliiacherednyk@example.net
Тимченко,Гордій,Болеславович,Чоловіча,09.12.1963,Каскадер,селище Решетилівка,"парк Офіцерський 1-й, буд. 097 кв. 47, Калинівка , 14995",+380 (18) 408-97-47,oleksandr95@example.org
Черінько,Іван,Михайлович,Чоловіча,22.05.1947,Фрілансер,хутір Корюківка,"узвіз Дзвінка, буд. 57, Миргород, 51212",010 323-65-99,pgerega@example.org
Дробаха,Онисим,Семенович,Чоловіча,18.08.1969,Детектив,селище Дружба ,"проспект Туристська, буд. 65 кв. 106, Севастополь, 55177",+380 (11) 753-99-21,edzhus@example.org
Бабиченко,Йосип,Ростиславович,Чоловіча,20.11.1997,Кінолог,село Алчевськ,"провулок Одарія, буд. 8, Монастирище, 22627",+380 12 861-27-21,tetianabazylevskyi@example.org
Хомик,Миколай,Васильович,Чоловіча,04.06.2006,Археолог,селище Ланівці,"площа Сміливий, буд. 300 кв. 97, Помічна, 63818",079 847 16 43,ostaphohol-ianovskyi@example.net
Вишиваний,Демʼян,Антонович,Чоловіча,02.03.1956,Антрополог,місто Калинівка ,"вулиця Щукіна, буд. 318 кв. 46, Мена , 62701",+380 02 844-37-50,epelekh@example.com
Терещенко,Йосип,Тимофійович,Чоловіча,10.06.1999,Редактор,село Харків,"провулок Академічний, буд. 1 кв. 902, Верхівцеве, 91436",+380 24 424-28-65,svyshniak@example.net
Микитюк,Руслан,Аркадійович,Чоловіча,04.10.2007,Швачка,місто Горішні Плавні,"набережна Пастера, буд. 846 кв. 41, Ялта, 84676",+380 73 878 07 07,baidataras@example.com
Устенко,Тарас,Святославович,Чоловіча,18.01.1978,Журналіст,село Помічна,"шосе Аеропортівський 1-й, буд. 83 кв. 6, Турка, 17571",596 30 48,stusnazar@example.org
Атаманюк,Віктор,Устимович,Чоловіча,28.03.1977,Юрист,село Винники,"провулок Матеріальний 1-й, буд. 226, Великі Мости, 92426",+380 (53) 162-85-52,rostyslav26@example.org
Оробець,Семен,Ігнатович,Чоловіча,27.04.1986,Підприємець,селище Овруч,"вулиця Пересипська 1-ша, буд. 684 кв. 347, Рава-Руська, 20053",897-53-04,opanas59@example.net
Зайченко,Аарон,Олексович,Чоловіча,06.10.1976,Складальник,село Теребовля,"вулиця Танфільєва, буд. 334 кв. 50, Борислав, 37044",007 712-68-58,chmilkhrystyna@example.com
Бабʼяк,Зорян,Вадимович,Чоловіча,02.07.1975,Євнух,хутір Татарбунари,"сквер Верстатобудівна, буд. 022 кв. 973, Іловайськ, 73725",399 22 63,babarychenkoieva@example.net
Аронець,Демид,Назарович,Чоловіча,13.10.2001,Фольклорист,селище Миронівка,"проспект Авіаторів, буд. 25, Сокаль, 19270",132 80 66,davydmykhaliuk@example.net
Єфименко,Віталій,Прохорович,Чоловіча,03.06.1989,Менеджер,селище Гола Пристань,"проспект Рощева, буд. 41, Володимир-Волинський, 59017",023 171 64 68,albinamykhaliuk@example.com
Величко,Алевтин,Степанович,Чоловіча,20.03.1953,Фотограф,село Гадяч,"узвіз Марсельська, буд. 0 кв. 7, Глиняни, 35461",+380 04 521 54 20,varvaraperepelytsia@example.com
Сацюк,Пармен,Прохорович,Чоловіча,29.09.1949,Скульптор,селище Слов'янськ,"сквер Грецький, буд. 690, Покровськ, 68735",031 923 46 44,edemianenko@example.net
Сич,Ігор,Тарасович,Чоловіча,20.02.1977,Ріелтор,місто Горохів,"провулок Петра Лещенка, буд. 50, Старий Самбір, 64875",+380 50 757-18-87,valentyntelychenko@example.net
Терещенко,Михайло,Орхипович,Чоловіча,10.10.1949,Гірник,місто Горлівка,"парк Мельницька, буд. 99 кв. 7, Старий Крим, 90696",+380 97 859-32-07,bkhrystenko@example.net
Захаренко,Данило,Яремович,Чоловіча,23.02.1963,Єгер,хутір Кобеляки,"узвіз Прорізна, буд. 0 кв. 199, Конотоп, 74499",+380 78 553-02-06,larysa80@example.com
Гавриленко,Йосип,Аврелійович,Чоловіча,10.09.1968,Економіст,селище Белз,"провулок Дачний, буд. 34, Бахчисарай, 80849",+380 (91) 074-90-81,holykiryna@example.org
Вишиваний,Йосип,Болеславович,Чоловіча,20.10.1966,Журналіст,село Радомишль,"узвіз Флотський 4-й, буд. 65 кв. 86, Немирів, 50303",+380 94 969-34-15,aaron22@example.com
Закусило,Сергій,Зорянович,Чоловіча,13.07.1941,Ветеринар,місто Сіверськ,"проспект М’ясоєдовська, буд. 682 кв. 15, Любомль, 13814",+380 35 756-41-53,sviatoslavabaidak@example.com
Мазепа,Ярема,Августинович,Чоловіча,22.07.1996,Клоун,місто Новий Калинів,"шосе Першотравневий 2-й, буд. 80, Вишгород, 52912",+380 (54) 532-05-79,klavdiia93@example.com
Байрак,Адам,Євгенійович,Чоловіча,01.12.1999,Актор,хутір Очаків,"сквер Пестеля, буд. 8, Подільськ, 52761",121 52 93,zlatoslava54@example.org
Худяк,Артем,Сергійович,Чоловіча,07.11.1959,Головний меркшейдер,селище Лебедин,"провулок Лиманчик 2-й Лінія 9-та, буд. 72, Гайсин, 20119",012 470 43 94,chmilillia@example.com
Колісниченко,Гліб,Антонович,Чоловіча,02.11.2001,Медик,село Бар,"шосе Четверта, буд. 3, Світловодськ, 42279",+380 85 222-09-50,snizhana23@example.com
Франко,Нестор,Яремович,Чоловіча,19.08.1950,Різноробочий,хутір Берислав,"площа Ніжинська, буд. 7 кв. 2, Новий Розділ, 91554",039 378 34 42,rbashpolchenko@example.net
Сацюк,Вадим,Ігорович,Чоловіча,12.11.1943,Ветеринар,село Роздільна,"набережна Плієва, буд. 7 кв. 92, Миколаївка , 31140",+380 66 839-88-34,ihorhaida@example.net
Зарудний,Андрій,Костянтинович,Чоловіча,29.08.1973,Електрик,село Алчевськ,"вулиця Перепечка, буд. 703 кв. 3, Лутугине, 54973",+380 69 733-42-71,lazhazha@example.org
Полтавець,Руслан,Іванович,Чоловіча,26.07.1990,Євнух,село Виноградів,"площа Селищна, буд. 321 кв. 73, Зоринськ, 77174",+380 52 085-41-46,uisaienko@example.com
Величко,Володимир,Климентович,Чоловіча,25.04.2005,Шериф,хутір Першотравенськ,"шосе Локомотивна, буд. 02, Чортків, 34064",+380 06 035 51 25,ruslanonufriienko@example.net
Андріїшин,Вʼячеслав,Яремович,Чоловіча,11.03.1969,Продюсер,місто Первомайськ,"вулиця Друга, буд. 03 кв. 90, Тячів, 98764",+380 82 354 43 21,risaievych@example.org
Їжак,Ярема,Климентович,Чоловіча,28.02.1970,Кінорежисер,селище Попасна,"вулиця Вєтрова, буд. 01, Іллінці, 42083",014 426-66-67,cshevchenko@example.com
Щербань,Федір,Святославович,Чоловіча,14.01.1957,Головний меркшейдер,місто Зугрес,"шосе Академіка Вавилова, буд. 274, Родинське, 27412",075 10 18,ada76@example.com
Скирда,Франц,Мирославович,Чоловіча,23.04.1940,Футболіст,хутір Золочів,"парк Івана Микитенка, буд. 3 кв. 4, Чуднів, 70064",070 166 71 95,mmedvedenko@example.org
Усик,Алевтин,Яремович,Чоловіча,12.07.1947,Економіст,селище Прилуки,"набережна Люстдорфська дорога, буд. 65 кв. 3, Арциз, 25561",090 423 07 38,sofiiavertyporokh@example.com
Данильчук,Яків,Пилипович,Чоловіча,11.12.2000,Фольклорист,місто Корюківка,"узвіз Семафорний, буд. 71, Хирів, 90045",+380 71 598 31 09,khrystyna87@example.net
Шелест,Аркадій,Леонтійович,Чоловіча,29.09.2001,Сантехнік,місто Білгород-Дністровський,"парк Східний, буд. 6, Краматорськ, 36235",+380 38 794-79-11,lukashamaliia@example.com
Назаренко,Едуард,Болеславович,Чоловіча,19.10.1993,Стоматолог,село Моршин,"парк Соляний 1-й, буд. 15, Нова Одеса, 90363",+380 (87) 008-57-93,hunkoavhustyn@example.net
Величко,Валерій,Адамович,Чоловіча,27.11.1984,Реабілітолог,селище Торецьк,"набережна Бородінська, буд. 71 кв. 3, Олександрія, 51364",+380 (96) 497-22-81,iefrem33@example.org
Гресь,Євген,Вікторович,Чоловіча,16.01.1973,Ґрунтознавець,місто Родинське,"шосе Шкодова гора, буд. 2, Турка, 09409",+380 72 249-94-79,imykytiuk@example.org
Артюшенко,Святослав,Ааронович,Чоловіча,20.02.1986,Епідеміолог,хутір Хуст,"площа Ямчитського, буд. 01 кв. 6, Старокостянтинів, 78863",+380 29 727 67 43,steslenko@example.net
Килимник,Пилип,Соломонович,Чоловіча,31.01.1982,Філолог,село Ірпінь,"шосе Степна, буд. 640, Тетіїв, 24479",+380 79 616-62-19,venhrynovychsviatoslava@example.com
Вівчаренко,Охрім,Леонтійович,Чоловіча,15.07.1994,Ріелтор,село Донецьк,"вулиця Садова 5-та, буд. 903 кв. 2, Мена , 37033",+380 48 485-47-40,demyd29@example.net
Карпа,Святослав,Ігнатович,Чоловіча,26.11.1962,Фермер,місто Чистякове,"набережна 4-та Суворовська, буд. 9 кв. 62, Новодністровськ, 43586",+380 35 920 14 35,alla29@example.org
Корбут,Михайло,Богодарович,Чоловіча,23.06.1951,Гірник,місто Деражня,"набережна Соляний 4-й, буд. 656, Гайворон, 74056",034 76 61,wtelizhenko@example.com
Чубай,Трохим,Борисович,Чоловіча,03.05.1961,Нотаріус,село Армянськ,"проспект Щукіна, буд. 79, Здолбунів, 34083",052 164 37 46,vzarudnyi@example.net
Жаліло,Богуслав,Костянтинович,Чоловіча,03.08.1943,Секретар,місто Кам'янка-Дніпровська,"набережна Кондренка, буд. 63 кв. 6, Амвросіївка, 44427",099 540 02 88,olifirenkomykhailo@example.org
